seed,mse_3_text_audio_prompt1,mse_7_text_audio_prompt1,mse_15_text_audio_prompt1,mse_30_text_audio_prompt1,avg_mse_text_audio_prompt1,mse_3_volonly,mse_7_volonly,mse_15_volonly,mse_30_volonly,avg_mse_volonly,mse_3_text_only,mse_7_text_only,mse_15_text_only,mse_30_text_only,avg_mse_text_only,mse_3_text_audio_prompt2,mse_7_text_audio_prompt2,mse_15_text_audio_prompt2,mse_30_text_audio_prompt2,avg_mse_text_audio_prompt2,mse_3_audio_only,mse_7_audio_only,mse_15_audio_only,mse_30_audio_only,avg_mse_audio_only,mse_3_chunk_text_audio,mse_7_chunk_text_audio,mse_15_chunk_text_audio,mse_30_chunk_text_audio,avg_mse_chunk_text_audio,mse_3_random_nonqa,mse_7_random_nonqa,mse_15_random_nonqa,mse_30_random_nonqa,avg_mse_random_nonqa
28,0.3210074305534363,0.1740045845508575,0.1859292984008789,0.1215985715389251,0.2006349712610244,0.3315262794494629,0.1893177777528762,0.2210807055234909,0.146797627210617,0.2221805974841117,0.3210063874721527,0.1739393174648285,0.1857958734035492,0.1215075626969337,0.200562285259366,0.3211990296840668,0.1742752939462661,0.1866254955530166,0.1220835447311401,0.2010458409786224,0.3210345804691314,0.1740648746490478,0.1861189156770706,0.1217412576079368,0.2007399071007967,0.3332741260528564,0.1872006952762603,0.210054725408554,0.1371247917413711,0.2169135846197605,0.3211753964424133,0.1741665601730346,0.1863568276166916,0.1219165250658989,0.2009038273245096
30,0.3284205496311188,0.18620365858078,0.1702868789434433,0.123897336423397,0.2022021058946848,0.332114428281784,0.1958446204662323,0.1916828900575637,0.1436077058315277,0.2158124111592769,0.3284341692924499,0.1862155199050903,0.1703139990568161,0.1239671856164932,0.2022327184677124,0.3284141421318054,0.186132937669754,0.1700748205184936,0.123724065721035,0.202086491510272,0.3284244537353515,0.1862057298421859,0.1703083366155624,0.123926855623722,0.2022163439542055,0.3287477791309356,0.1878034919500351,0.1741735190153122,0.1276672780513763,0.2045980170369148,0.328447014093399,0.1863014698028564,0.1705345660448074,0.1241140663623809,0.2023492790758609
31,0.3122054636478424,0.1693785339593887,0.1903799176216125,0.1222766637802124,0.198560144752264,0.316610187292099,0.1757122427225113,0.2105742543935775,0.134997472167015,0.2094735391438007,0.312053769826889,0.1690967977046966,0.1892553269863128,0.1216694861650466,0.1980188451707363,0.312188059091568,0.1693428605794906,0.1901538372039795,0.122148297727108,0.1984582636505365,0.3197824954986572,0.177645742893219,0.1989376693964004,0.1260518878698349,0.2056044489145279,0.3123608827590942,0.1699175089597702,0.1910341829061508,0.1234323754906654,0.1991862375289201,0.3122508227825165,0.1694067269563675,0.1904385089874267,0.1223416477441787,0.1986094266176223
32,0.3416556715965271,0.1932163834571838,0.1700194925069809,0.1227561682462692,0.2069119289517402,0.3420383930206299,0.1979867219924926,0.1670475751161575,0.1299944669008255,0.2092667892575264,0.3342021405696869,0.1954068392515182,0.2062924802303314,0.1431761234998703,0.2197693958878517,0.3424819409847259,0.1935965865850448,0.1674372553825378,0.1218387335538864,0.2063386291265487,0.3588656783103943,0.2085471004247665,0.1719626635313034,0.1240189447999,0.215848596766591,0.3264011442661285,0.184284508228302,0.168677732348442,0.1169665902853012,0.1990824937820434,0.3406000435352325,0.1942415982484817,0.1718683540821075,0.1281706690788269,0.2087201662361621
33,0.322211354970932,0.172319084405899,0.1885778754949569,0.1402992308139801,0.205851886421442,0.3297283053398132,0.1779853850603103,0.2056649923324585,0.158246248960495,0.2179062329232692,0.3221141397953033,0.1722066104412078,0.1880632191896438,0.1398427635431289,0.205556683242321,0.3222237825393677,0.1723813861608505,0.1884792298078537,0.1401962786912918,0.2058201692998409,0.3218332529067993,0.1720655411481857,0.1875402778387069,0.1393217146396637,0.2051901966333389,0.3218153417110443,0.1722393780946731,0.1868527233600616,0.1379863172769546,0.2047234401106834,0.3221129179000854,0.17222960293293,0.1881346553564071,0.1398850828409195,0.2055905647575855
34,0.3161027729511261,0.1768164783716201,0.1968806087970733,0.1406603157520294,0.2076150439679622,0.3214749097824096,0.1873543262481689,0.223048448562622,0.1616811901330948,0.2233897186815738,0.3160190880298614,0.1765697449445724,0.1962888240814209,0.1402152180671692,0.207273218780756,0.3161150217056274,0.1767819672822952,0.1968195885419845,0.1405790299177169,0.207573901861906,0.3162163197994232,0.1770670115947723,0.19760163128376,0.1411447525024414,0.2080074287950992,0.3156607747077942,0.17703677713871,0.1968355476856231,0.1409875750541687,0.207630168646574,0.3161953091621399,0.1770236194133758,0.1975247263908386,0.1410675644874572,0.2079528048634529
35,0.3290809988975525,0.1824112236499786,0.2095453292131424,0.1431219428777694,0.2160398736596107,0.3444105386734009,0.2038372606039047,0.249172106385231,0.1766143292188644,0.2435085587203502,0.3291344344615936,0.1824873387813568,0.2097252905368805,0.1432292461395263,0.2161440774798393,0.3290390074253082,0.1823509782552719,0.2094113379716873,0.1430364400148391,0.2159594409167766,0.3288941383361816,0.1821545213460922,0.20904241502285,0.1427652090787887,0.2157140709459781,0.3294628262519836,0.18381367623806,0.2140283435583114,0.1464372128248214,0.2184355147182941,0.3290432095527649,0.182247057557106,0.2090783864259719,0.142738938331604,0.2157768979668617
39,0.3249662518501282,0.177468404173851,0.1979981511831283,0.1311498880386352,0.2078956738114357,0.3376489281654358,0.192324087023735,0.2340961396694183,0.1603548675775528,0.2311060056090355,0.3251724541187286,0.1777128875255584,0.1985956281423568,0.131584033370018,0.2082662507891655,0.3249264061450958,0.177429124712944,0.1979003697633743,0.1310703009366989,0.2078315503895282,0.324978768825531,0.1775201857089996,0.1982264667749405,0.1312967538833618,0.2080055437982082,0.3243617415428161,0.1769911646842956,0.1971971988677978,0.130962461233139,0.2073781415820121,0.325325459241867,0.1779172420501709,0.1993201673030853,0.132124975323677,0.2086719609797001
40,0.3202508687973022,0.1750232428312301,0.1679732501506805,0.1115304306149482,0.1936944480985403,0.327667772769928,0.1885743141174316,0.1889058500528335,0.1273818165063858,0.2081324383616447,0.3201203942298889,0.1748193800449371,0.1675886958837509,0.1111930832266807,0.1934303883463144,0.320220023393631,0.1749462932348251,0.1678505539894104,0.111451968550682,0.1936172097921371,0.3202198445796966,0.1748785227537155,0.167704552412033,0.1113640218973159,0.1935417354106903,0.3190279304981231,0.1770441085100174,0.1728583425283432,0.1138198748230934,0.1956875640898943,0.3201430439949035,0.174910083413124,0.1677799969911575,0.1114206984639167,0.1935634557157755
42,0.3260450959205627,0.1871880441904068,0.188254714012146,0.1413985192775726,0.210721593350172,0.3298369944095611,0.193768173456192,0.2035226076841354,0.1574296504259109,0.2211393564939499,0.3261305391788482,0.1873273104429245,0.1885796785354614,0.1417089253664016,0.2109366133809089,0.3260538876056671,0.187174916267395,0.1882006824016571,0.1413267701864242,0.2106890641152858,0.3262623250484466,0.187599778175354,0.1891877651214599,0.142336905002594,0.2113466933369636,0.3269112110137939,0.189286395907402,0.1925977170467376,0.1452082097530365,0.2135008834302425,0.3262383639812469,0.1875798404216766,0.1891639977693557,0.1423349976539611,0.2113292999565601
